"annee","droit","type","beneficiaire","montant","nature","id"
2008,"privé","Personne physique","AAA PbZKtUuSVHJxAs5lRkatVFwRmjy2yIAwOBzmw6q2OxDAYyOjxDcnQ15Jv6xPKDkJ",300,"non",659
2008,"privé","Personne physique","AAA EakOvOGZpdSIZ5xu7YKrDYFWFNonNXSV+GcYGcnleDsPMjk0VrE1VOJQx8c7XRR9",39.5,"non",660
2008,"privé","Personne physique","AAA oh+48KRghJm/bZnTLBfGGj/3V2RPBhbpNq/MLc4Bro/kUb8DNBoyOkOTpCnXUY6r",22.95,"non",661
2008,"privé","Personne physique","AAA 5HeqpCms7gVRewXWTnAgAQwEMqPBMpfRskiSbqRP3R2dblLpYtThgyMysHMfmKxR",49.5,"non",662
2008,"privé","Personne physique","AAA 6UloiNzWNtxKSMEvbX4ONGO01HqPlu+Xj3DbEikv+GXPdnBax81GI2hqotkmrDKi",300,"non",663
2008,"privé","Personne physique","AAA IKlQ18aaocTe5JG+Y3aahDsNtcm0RcAruK0cCZ5+gOjbF1UFikGK92WPrg/kmiMX",300,"non",665
2008,"privé","Personne physique","AAA 7R2DoXujRsv/utul9uYQlYVuL104awS56q13hRZRlQoDcXZMcfsSJ3e/VbOWRLCX",300,"non",666
2008,"privé","Personne physique","AAA RQHEYgH8VYVZNwbnyXWFceKj0XTHQjNyUEGXeboL1K0FmbiXShHRDrOAUCGBhwdv",182,"non",667
2008,"privé","Personne physique","AAA J4J3sDLRU+KKQzR3VOuj+4G7XbtwNCfFPzQRnBDMzAeRS99wmSKY7aA6PuMPLfo7",49.5,"non",668
2008,"privé","Personne physique","AAA 1bGTmPaNa2QvW0OUppzjZwB+/rmTZUqJwAntug2L5OGsSbtT9oKgIudS6937U2mQ",233.22,"non",669
2008,"privé","Personne physique","AAA ESyvNnEd9CWaztEMzgCLn6LcxMhI+ldSjSRYxsIB92uVbcjxtXtHkr35qfX5A+8b",130.93,"non",670
2008,"privé","Personne physique","AAA ogMsnHwUuLvX7UyU50SXHtLMT9xf4YGTJ6JKdzEE84XaDBCbKOcYPmknl0kJ06PK",49.5,"non",671
2008,"privé","Personne physique","AAA 1TBM6oU7SoxXxMBzZdscQy2nrH1ho3A7KFv4NoHoSVHpbFA/B+7OFa1DhGPtPuR9",34.5,"non",672
2008,"privé","Personne physique","AAA sB4MUaOVfhT+iqokmDSAXxTukesObpaYMQAOcxSSrfQM/pMoR//4GT/mBzf1uEbS",74.5,"non",673
2008,"privé","Personne physique","AAA eod/RViDaYVxViG3pk/u+NS3gAZLCE6UL1sUSL0wWks6eV5uctJKVRydc8Lii4WU",127.3,"non",674
2008,"privé","Personne physique","AAA wp7Vf1JTeg3p/lPqBfJ9233j6IrVM4Qt74XPeteWpDUoEciAvJbv3Aj9g4Eq+UAB",300,"non",675
2008,"privé","Personne physique","AAA QL4iiaDQJtPBa5dLakTkVllXqXHzN/Cz0gsktwXexiynPVVO6v60wXQL5YYD+tvo",280.25,"non",676
2008,"privé","Personne physique","AAA MPw2LWLo1C8VlXh8NkLIc+gGneuSXX8s/CDEnBypvK/FsFhN75egkoYXjQgsHj+X",300,"non",677
2008,"privé","Personne physique","AAA B4wofWxk7jTr97uqUtpEva0/X2/4ble/lg4hhtqw2EFHGiUQU5n2I3Y5ZszY0qly",27.75,"non",678
2008,"privé","Personne physique","AAA B4wofWxk7jTr97uqUtpEva0/X2/4ble/lg4hhtqw2EFHGiUQU5n2I3Y5ZszY0qly",300,"non",679
2008,"privé","Personne physique","AAA vgy6Z7F1qxVjrzgzpoaLMGBlfFq3txKCr0RqTFQ0tUGLMFhKi0BQqAew62hFDh1B",89.4,"non",680
2008,"privé","Personne physique","AAA oIP9zWMlyHuHTLEqTv5A+5l/Fi678z0v0ETNc3tMaxLa9ibwPCHJ1b2GeUWvhywE",124.5,"non",681
2008,"privé","Personne physique","AAA /nALbvRt/usvuiLk8/b5t3MptFLLycfBA0Y8a7YThZ63aYXi92pGNOM/ehZFF2tk",300,"non",682
2008,"privé","Personne physique","AAA ibiB/dyfH257UGI2t21MzKBeSvBfS9CWOowU5MbiNyU8fDcUdyfKSy7mtqlW408O",21.45,"non",683
2008,"privé","Personne physique","AAA EPOjUFtx0I8p8VG9i8GgKygaaiD9+xa1KIaKJTL2cqO0XTICybIjO4Pwds3uOl+O",49.5,"non",684
2008,"privé","Personne physique","AAA aOhG4h9VwbWK1tiF5OvEVQJYw5Luasp/qEVxIEekt/1NBMS2pJk9k4+VvlH8GUW/",59.8,"non",685
2008,"privé","Personne physique","AAA ug/qio96Ex3y8VFxXiWTR/ToQlZ6e8clr2YEe8RUc27KY4r2lKZdofmggEWiORrG",300,"non",686
2008,"privé","Personne physique","AAA dCDbuc3Xf0ffKtRwMf7SQuwSYAOR8zzq/ODz2+chgqhhdKP5nTBGyjDF3mKk7Nhx",300,"non",687
2008,"privé","Personne physique","AAA V156Zjwlbo2PfuUBbnr4PkrTjpYDreHFcllohMvnLdnwlLcr6KCLifkubCdCWe+V",300,"non",688
2008,"privé","Personne physique","AAA OeXQk6Gmy2nOOqZEuudG3ddKgyr+ac+iqKcMDjaQHADM3JfJVdteUfCGnFoKCIS+",300,"non",689
